District_Name,State_Full,Agency ID - NCES Assigned,FIPS_Code,Total_Students,FTE_Teachers,Student_Teacher_Ratio,State_Abbr,Poverty_Rate,Median_Household_Income,Unemployment_Rate,Graduation_Outcome
TGU 60,North Dakota,3800047.0,38049,340.0,35.9,9.470752089136491,ND,12.3,68973.0,2.8000000000000003,Medium (80-89%)
THACKERVILLE,Oklahoma,4029850.0,40085,299.0,18.8,15.904255319148936,OK,14.4,58771.0,2.7,Medium (80-89%)
THATCHER UNIFIED DISTRICT (4219),Arizona,408410.0,04009,1849.0,97.42,18.97967563128721,AZ,17.3,66469.0,3.7,Medium (80-89%)
THAYER CENTRAL COMMUNITY SCHS,Nebraska,3100132.0,31169,440.0,34.16,12.88056206088993,NE,9.3,63574.0,1.8,High (>=90%)
THAYER R-II,Missouri,2930270.0,29149,762.0,61.29,12.432697014194812,MO,18.900000000000002,41462.0,3.5,Medium (80-89%)
THE ACADEMY FOR URBAN SCHOLARS,Ohio,3901433.0,39049,333.0,15.0,22.2,OH,15.100000000000001,71730.0,3.1,Medium (80-89%)
THE ACADEMY INC.,Idaho,1600014.0,16005,545.0,24.0,22.708333333333332,ID,11.9,67371.0,3.1,Medium (80-89%)
THE ACADEMY OF ALAMEDA DISTRICT,CALIFORNIA,601642.0,06001,607.0,30.78,19.72059779077323,CA,9.5,119230.0,4.1000000000000005,High (>=90%)
THE ACADEMY OF MOORE COUNTY,North Carolina,3700033.0,37125,473.0,26.0,18.192307692307693,NC,10.5,78955.0,3.4000000000000004,Medium (80-89%)
THE ASK ACADEMY,New Mexico,3500126.0,35043,625.0,40.02,15.61719140429785,NM,11.700000000000001,81557.0,3.6,Medium (80-89%)
THE AUTISM ACADEMY OF LEARNING,Ohio,3900117.0,39095,51.0,5.0,10.2,OH,18.2,60525.0,4.2,Medium (80-89%)
THE BARACK OBAMA GREEN CHARTER HIGH SCHOOL DISTRICT,New Jersey,3400740.0,34039,257.0,26.5,9.69811320754717,NJ,8.9,100031.0,4.7,High (>=90%)
THE BIOME,MISSOURI,2900609.0,29510,176.0,21.0,8.380952380952381,MO,20.1,55231.0,3.7,Low (<80%)
THE BIRCHES ACADEMY OF ACADEMICS & ART A PUBLIC CHARTER SCH,New Hampshire,3303286.0,33015,225.0,15.5,14.516129032258064,NH,5.4,109660.0,2.3000000000000003,High (>=90%)
THE BLOOMINGTON PROJECT SCHOOL,Indiana,1800083.0,18105,330.0,24.03,13.732833957553058,IN,17.7,60553.0,3.3000000000000003,Medium (80-89%)
THE BOYS & GIRLS CLUBS OF THE VALLEY (4305),Arizona,400033.0,04013,218.0,,,AZ,11.100000000000001,86973.0,3.4000000000000004,Medium (80-89%)
THE BRIDGE ACADEMY DISTRICT,Connecticut,900015.0,09120,280.0,19.6,14.285714285714285,CT,11.3,92858.0,,Medium (80-89%)
THE BRILLIANCE SCHOOL,Ohio,3901473.0,39035,286.0,12.0,23.833333333333332,OH,16.0,61912.0,3.8000000000000003,Medium (80-89%)
THE CAPITOL ENCORE ACADEMY,North Carolina,3700370.0,37051,725.0,46.84,15.478223740392826,NC,15.3,61511.0,4.7,Medium (80-89%)
THE CENTER FOR CREATIVITY INNOVATION AND DISCOVERY,UTAH,4900193.0,49005,464.0,21.21,21.876473361621876,UT,10.700000000000001,83027.0,2.3000000000000003,Medium (80-89%)
THE CHARTER FOUNDATION INC. (6355),Arizona,400131.0,04013,627.0,,,AZ,11.100000000000001,86973.0,3.4000000000000004,Medium (80-89%)
THE CHILDREN'S GUILD DC PCS,DISTRICT OF COLUMBIA,1100101.0,11001,206.0,21.0,9.80952380952381,DC,15.200000000000001,104643.0,4.9,Medium (80-89%)
THE CITY DISTRICT,CALIFORNIA,601668.0,06037,150.0,6.1,24.59016393442623,CA,13.700000000000001,86499.0,5.0,Medium (80-89%)
THE COLLEGE PREPARATORY AND LEADERSHIP A,North Carolina,3700325.0,37081,821.0,18.95,43.3245382585752,NC,14.8,65890.0,3.9000000000000004,Medium (80-89%)
THE COMPASS SCHOOL,Rhode Island,4400035.0,44009,215.0,17.0,12.647058823529411,RI,9.1,101749.0,2.5,High (>=90%)
THE DAYTON SCHOOL,OHIO,3910045.0,39113,29.0,5.0,5.8,OH,15.200000000000001,62650.0,3.8000000000000003,Medium (80-89%)
THE DEARBORN ACADEMY,Michigan,2600173.0,26163,515.0,31.0,16.612903225806452,MI,20.6,57418.0,4.4,Low (<80%)
THE EDUCATION COOPERATIVE (TEC),MASSACHUSETTS,2500566.0,25021,,,,MA,7.7,123449.0,3.1,High (>=90%)
THE EDUCATION CORPS DISTRICT,CALIFORNIA,601873.0,06037,202.0,6.44,31.366459627329192,CA,13.700000000000001,86499.0,5.0,Medium (80-89%)
THE ETHICAL COMMUNITY CHARTER SCHOOL SCHOOL DISTIRCT,New Jersey,3400727.0,34017,380.0,19.0,20.0,NJ,15.200000000000001,88469.0,4.4,Medium (80-89%)
THE EXCEL CENTER,ARKANSAS,500420.0,05119,0.0,11.73,0.0,AR,15.700000000000001,61344.0,3.2,Medium (80-89%)
THE EXCEL CENTER (FOR ADULTS),TEXAS,4801448.0,48453,1060.0,48.87,21.6901984857786,TX,10.200000000000001,97544.0,3.3000000000000003,Medium (80-89%)
THE EXPEDITION SCHOOL,North Carolina,3700354.0,37135,361.0,28.95,12.469775474956823,NC,11.700000000000001,86736.0,2.9000000000000004,Medium (80-89%)
